participant_id,resolution,day1_frames,cross_day_frames,within_day_mean_px,within_day_mean_pct,cross_day_mean_px,cross_day_mean_pct,decay_increase_pct
p00,1280x800,92,2826,216.46622387468534,14.340858650009283,219.5822915640522,14.547297721552107,1.439516814027669
p01,1440x900,55,2840,175.37720323771114,10.327747979634353,170.23682508091179,10.025037426932224,-2.931041242476621
p02,1280x800,23,2884,196.28060355048382,13.003563978117603,238.4700890466216,15.798611802146672,21.494475120302226
p03,1440x900,11,2909,185.35373594559067,10.915253730754708,542.7182718984312,31.960012091836244,192.8013666030139
p04,1280x800,142,2709,183.60062371877638,12.16351699435927,170.06296373036312,11.26664881386146,-7.373428104007465
p05,1440x900,64,2797,208.86864653773137,12.300017918321833,261.0170225411433,15.370971696621345,24.967067517235787
p06,1680x1050,45,2823,171.6564025544023,8.664543942723084,294.6763459194257,14.874109617267242,71.66638793215725
p07,1440x900,9,2816,202.69447513684275,11.936428551891954,339.8666652289355,20.014330257083497,67.67436063537761
p09,1440x900,194,2516,229.8875536034853,13.537795525530157,307.9421338336038,18.134333834903043,33.95337372842231
p10,1440x900,79,2106,219.68581946691202,12.937027939021482,310.2878409507716,18.272469644420475,41.241633940558295
p11,1280x800,246,2007,185.2726997932841,12.274291812745991,217.4906943016726,14.408729680055263,17.389499124444864
p12,1280x800,51,1487,250.75455243836373,16.61245587416307,384.75320264296454,25.489848695449986,53.43817246848912
p13,1280x800,170,1319,171.5570476704239,11.36563167692496,191.1884039273945,12.66620642780236,11.443048550639627
p14,1440x900,251,1240,160.34228333140803,9.442360022592867,197.35930671164593,11.622247039659426,23.08625186765503
